ID	Description
GO:0005518	collagen binding
GO:0035325	Toll-like receptor binding
GO:0004875	complement receptor activity
GO:0032396	inhibitory MHC class I receptor activity
GO:0003924	GTPase activity
GO:0032393	MHC class I receptor activity
GO:0033691	sialic acid binding
GO:0019763	immunoglobulin receptor activity
GO:0061135	endopeptidase regulator activity
GO:0019865	immunoglobulin binding
GO:0050431	transforming growth factor beta binding
GO:0042169	SH2 domain binding
GO:0008201	heparin binding
GO:0005161	platelet-derived growth factor receptor binding
GO:0042056	chemoattractant activity
GO:0051861	glycolipid binding
GO:0140313	molecular sequestering activity
GO:0038024	cargo receptor activity
GO:0015026	coreceptor activity
GO:0017171	serine hydrolase activity
GO:0033218	amide binding
GO:0001540	amyloid-beta binding
GO:0016504	peptidase activator activity
GO:0008236	serine-type peptidase activity
GO:0003953	NAD+ nucleosidase activity
GO:0005172	vascular endothelial growth factor receptor binding
GO:0048185	activin binding
GO:0050786	RAGE receptor binding
GO:0008083	growth factor activity
GO:0043028	cysteine-type endopeptidase regulator activity involved in apoptotic process
GO:0001965	G-protein alpha-subunit binding
GO:0030414	peptidase inhibitor activity
GO:0042277	peptide binding
GO:0140678	molecular function inhibitor activity
GO:0030695	GTPase regulator activity
GO:0060589	nucleoside-triphosphatase regulator activity
GO:0004866	endopeptidase inhibitor activity
GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
GO:0017017	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0043394	proteoglycan binding
GO:0050840	extracellular matrix binding
GO:0032813	tumor necrosis factor receptor superfamily binding
GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0046906	tetrapyrrole binding
GO:0016701	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen
GO:0042287	MHC protein binding
GO:0020037	heme binding
GO:0004252	serine-type endopeptidase activity
GO:0050700	CARD domain binding
GO:0043177	organic acid binding
GO:0004222	metalloendopeptidase activity
GO:0048020	CCR chemokine receptor binding
GO:0004857	enzyme inhibitor activity
GO:0046625	sphingolipid binding
GO:0033549	MAP kinase phosphatase activity
GO:0042288	MHC class I protein binding
GO:0035591	signaling adaptor activity
GO:1901681	sulfur compound binding
GO:0005085	guanyl-nucleotide exchange factor activity
GO:0140311	protein sequestering activity
GO:0003823	antigen binding
GO:0005164	tumor necrosis factor receptor binding
